"ID","COLLECTED_AT","COMMAND","DAY_OF_WEEK","FILE_SIZE_BYTES","IO_SIZE_BYTES","LATENCY_SECONDS","OPERATION_TYPE","RAW_LATENCY","RAW_RESPONSE","RAW_THROUGHPUT","SYSTEM_NAME","THROUGHPUT_KB_PER_SECOND","TIME_OF_DAY","WEEK_PERIOD"
"1","2023-11-10 22:22:01.678823","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","1.0161","WRITE","1.0161 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.0161 s, 984 MB/s
","984 MB/s","GCF_DD","9.84E8","OFF_HOUR","WEEKDAY"
"2","2023-11-10 22:22:01.974606","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.164553","READ","0.164553 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.164553 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"3","2023-11-10 22:22:03.894338","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","1.40173","WRITE","1.40173 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 1.40173 s, 713 MB/s
","713 MB/s","LAMBDA_DD","7.13E8","OFF_HOUR","WEEKDAY"
"4","2023-11-10 22:22:04.097437","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.138102","READ","0.138102 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.138102 s, 7.2 GB/s
","7.2 GB/s","LAMBDA_DD","7.2E9","OFF_HOUR","WEEKDAY"
"5","2023-11-10 22:24:01.191924","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","1.01562","WRITE","1.01562 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.01562 s, 984 MB/s
","984 MB/s","GCF_DD","9.84E8","OFF_HOUR","WEEKDAY"
"6","2023-11-10 22:24:01.412403","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.161437","READ","0.161437 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.161437 s, 6.2 GB/s
","6.2 GB/s","GCF_DD","6.2E9","OFF_HOUR","WEEKDAY"
"7","2023-11-10 22:24:02.695498","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","0.748137","WRITE","0.748137 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.748137 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"8","2023-11-10 22:24:02.899369","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.136603","READ","0.136603 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.136603 s, 7.3 GB/s
","7.3 GB/s","LAMBDA_DD","7.3E9","OFF_HOUR","WEEKDAY"
"9","2023-11-10 22:26:01.265497","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","1.11386","WRITE","1.11386 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.11386 s, 897 MB/s
","897 MB/s","GCF_DD","8.97E8","OFF_HOUR","WEEKDAY"
"10","2023-11-10 22:26:01.489827","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.168982","READ","0.168982 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.168982 s, 5.9 GB/s
","5.9 GB/s","GCF_DD","5.9E9","OFF_HOUR","WEEKDAY"
"11","2023-11-10 22:26:02.548859","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","0.733781","WRITE","0.733781 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.733781 s, 1.4 GB/s
","1.4 GB/s","LAMBDA_DD","1.4E9","OFF_HOUR","WEEKDAY"
"12","2023-11-10 22:26:02.759575","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.132856","READ","0.132856 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.132856 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"13","2023-11-10 22:28:01.319479","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","1.03798","WRITE","1.03798 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.03798 s, 963 MB/s
","963 MB/s","GCF_DD","9.63E8","OFF_HOUR","WEEKDAY"
"14","2023-11-10 22:28:01.545647","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.161642","READ","0.161642 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.161642 s, 6.2 GB/s
","6.2 GB/s","GCF_DD","6.2E9","OFF_HOUR","WEEKDAY"
"15","2023-11-10 22:28:02.59888","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","0.747226","WRITE","0.747226 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.747226 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"16","2023-11-10 22:28:02.799886","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.13177","READ","0.13177 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.13177 s, 7.6 GB/s
","7.6 GB/s","LAMBDA_DD","7.6E9","OFF_HOUR","WEEKDAY"
"17","2023-11-10 22:30:01.192092","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","1.02945","WRITE","1.02945 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.02945 s, 971 MB/s
","971 MB/s","GCF_DD","9.71E8","OFF_HOUR","WEEKDAY"
"18","2023-11-10 22:30:01.40734","if=/tmp/file1 of=/dev/null bs=1024000","FRIDAY",,"1024000","0.165297","READ","0.165297 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.165297 s, 6.0 GB/s
","6.0 GB/s","GCF_DD","6.0E9","OFF_HOUR","WEEKDAY"
"19","2023-11-10 22:30:02.482225","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","FRIDAY","1000000000","1024000","0.745734","WRITE","0.745734 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.745734 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
